Task Name,Agent,Assignee,Due Date,Feature Request,Labels,Priority,Source Doc,Sprint,Status,Story Points
Build date-specific override systemBuild last-minute gradual discount curve engine,,"Rohith Panchagam, Harshit Choudhary",,,,,,,,
Implement configurable weekend day selectionBuild day-of-week auto-pattern detection,,"Rohith Panchagam, Harshit Choudhary",,,,,,,,
,,"Rohith Panchagam, Harshit Choudhary",,,,,,,Backlog,
"Weekend pricing, gap booking premiums, and one-night gap fill",Pricing Agent,"Rohith Panchagam, Harshit Choudhary",,"Weekend pricing, gap booking premiums, one-night gap filling (https://www.notion.so/Weekend-pricing-gap-booking-premiums-one-night-gap-filling-d6479e458cd14564b0017a12823c4907?pvs=21)","Backend, ML/AI",P1-High,Pricing Engine Analysis,Sprint 1,Backlog,5
Implement seasonal percentage adjustments,Pricing Agent,"Rohith Panchagam, Harshit Choudhary",,"Seasonal percentage adjustments to base price - e.g. +30% high season, -50% summer (https://www.notion.so/Seasonal-percentage-adjustments-to-base-price-e-g-30-high-season-50-summer-86141cd07d974ff9a1f81b48f290a526?pvs=21)",Backend,P1-High,Pricing Engine Analysis,Sprint 1,Backlog,5
Add user override capability on all automated pricing,Execution Agent,"Rohith Panchagam, Harshit Choudhary",,User override on all automated pricing decisions (https://www.notion.so/User-override-on-all-automated-pricing-decisions-90cb4dab015a4efdaa4f7dc07b3145b8?pvs=21),"Backend, Frontend",P1-High,Pricing Engine Analysis,Sprint 1,Backlog,3
Build bar-level rate grid logic,Revenue Optimizer,"Rohith Panchagam, Harshit Choudhary",,"Bar-level rate grid movement - rates move between bar levels like 340 to 400, not small increments (https://www.notion.so/Bar-level-rate-grid-movement-rates-move-between-bar-levels-like-340-to-400-not-small-increments-408e0e2db9564b2b8517e96d13e58c74?pvs=21)","Backend, ML/AI",P1-High,Pricing Engine Analysis,Sprint 1,Backlog,5
Build base price setup with ADR calculation,Pricing Agent,"Rohith Panchagam, Harshit Choudhary",,"Base price setup using ADR calculation - scrape OTA data, average historical ADR for full year (https://www.notion.so/Base-price-setup-using-ADR-calculation-scrape-OTA-data-average-historical-ADR-for-full-year-9b6ab9955fed49fab9905d10acadd57e?pvs=21)","Backend, ML/AI",P1-High,Pricing Engine Analysis,Sprint 1,Backlog,8
Display actual prices on calendar cells,Execution Agent,"Rohith Panchagam, Harshit Choudhary",,Show actual prices on calendar cells - not just color indicators (https://www.notion.so/Show-actual-prices-on-calendar-cells-not-just-color-indicators-7a24f596e3624b41a4788c35acf1fb4f?pvs=21),Frontend,P2-Medium,Product Feedback,Sprint 1,Backlog,3
Add 365-day calendar view,Execution Agent,"Rohith Panchagam, Harshit Choudhary",,365-day calendar view at property level (https://www.notion.so/365-day-calendar-view-at-property-level-2866572ea5b548e493fa48cf11fcb62e?pvs=21),Frontend,P2-Medium,Product Feedback,Sprint 1,Backlog,5
Build occupancy-based sorting,Portfolio Analyzer,"Rohith Panchagam, Harshit Choudhary",,Occupancy-based sorting - low to high so properties needing attention surface first (https://www.notion.so/Occupancy-based-sorting-low-to-high-so-properties-needing-attention-surface-first-16dbfca3ce18457dbe481d4986c06121?pvs=21),"Backend, Frontend",P2-Medium,Product Feedback,Sprint 1,Backlog,3
Build portfolio-level pricing overview,Portfolio Analyzer,"Rohith Panchagam, Harshit Choudhary",,"Portfolio-level pricing overview - filtering by location, property type, bedroom count (https://www.notion.so/Portfolio-level-pricing-overview-filtering-by-location-property-type-bedroom-count-f977f60600414d55b2ab5d12d572d742?pvs=21)","Backend, Frontend",P2-Medium,Product Feedback,Sprint 1,Backlog,8
Add competitor rate comparison panel,Competitor Monitor,"Rohith Panchagam, Harshit Choudhary",,Competitor rate comparison with average or override option (https://www.notion.so/Competitor-rate-comparison-with-average-or-override-option-db5b33df00904cc1b823a5ea0b59cd27?pvs=21),"Backend, Frontend",P2-Medium,Pricing Engine Analysis,Sprint 1,Backlog,5
Build pricing calculation pipeline with layer stacking,Execution Agent,"Rohith Panchagam, Harshit Choudhary",,CSV/Excel export for bulk price data (https://www.notion.so/CSV-Excel-export-for-bulk-price-data-4dfa036aba9540868c4c297b90bd8773?pvs=21),Backend,P2-Medium,Pricing Engine Analysis,Sprint 1,Backlog,3
Build tiered length-of-stay discountsBuild customization hierarchy system,Execution Agent,"Rohith Panchagam, Harshit Choudhary",,Permission flow for unified chatbox API - sensitive guest data access (https://www.notion.so/Permission-flow-for-unified-chatbox-API-sensitive-guest-data-access-613d8b2a7e63483cb88878050e27b1b1?pvs=21),"Backend, Integration",P3-Low,,Sprint 1,Backlog,3
Implement minimum weekend pricingBuild adjacent booking factor,Execution Agent,"Rohith Panchagam, Harshit Choudhary",,Separate reservation/chat panel from pricing tool (https://www.notion.so/Separate-reservation-chat-panel-from-pricing-tool-2b894377399a469cb031dbf129b15dca?pvs=21),Frontend,P3-Low,,Sprint 1,Backlog,3
Build multi-rule orphan gap pricing engineBuild far-out minimum price protection,Orchestrator,"Rohith Panchagam, Harshit Choudhary",,General chat for multi-property queries - separate from reservation inbox (https://www.notion.so/General-chat-for-multi-property-queries-separate-from-reservation-inbox-4bc9fa9b51ca419fa5d3a78e5ecb4856?pvs=21),"Backend, Frontend",P3-Low,,Sprint 1,Backlog,8
Build listing-level occupancy-based adjustmentsBuild portfolio-level occupancy-based adjustments,Execution Agent,"Rohith Panchagam, Harshit Choudhary",,Clear permission requests for Hostaway integration - explain what data is collected (https://www.notion.so/Clear-permission-requests-for-Hostaway-integration-explain-what-data-is-collected-5a2e6c6fb0ce4670ba20654a0c43e8e3?pvs=21),"Documentation, Integration",P3-Low,,Sprint 1,Backlog,2
"During onboarding Stage 1, after comp set is assigned, scrape OTA listings from the comp set and calculate average ADR across full year. Present suggested base price to user with breakdown showing how it was derived. Include Base Price Nudge system that alerts when actual base drifts >5% from recommendation.",Market Intel Agent,"Rohith Panchagam, Harshit Choudhary",,,"Backend, ML/AI",P1-High,Onboarding Flow Spec,Sprint 1,Backlog,8
Build named seasonal profiles engine,,"Rohith Panchagam, Harshit Choudhary",,,"Backend, Frontend",P1-High,Pricing Engine Analysis,,Backlog,
Auto-calculate suggested base price from comp set ADR data,Market Intel Agent,"Rohith Panchagam, Harshit Choudhary",,,"Backend, ML/AI",P1-High,Pricing Engine Analysis,Sprint 1,Backlog,8
Implement configurable weekend day selection,Pricing Agent,"Rohith Panchagam, Harshit Choudhary",,,"Backend, Frontend",P1-High,Pricing Engine Analysis,Sprint 1,Backlog,3
Build last-minute gradual discount curve engine,Pricing Agent,"Rohith Panchagam, Harshit Choudhary",,,"Backend, ML/AI",P1-High,Pricing Engine Analysis,Sprint 3,Backlog,8
Build date-specific override system,Execution Agent,"Rohith Panchagam, Harshit Choudhary",,,"Backend, Frontend",P1-High,Pricing Engine Analysis,Sprint 2,Backlog,5
Build day-of-week auto-pattern detection,Market Intel Agent,"Rohith Panchagam, Harshit Choudhary",,,"Backend, ML/AI",P2-Medium,Pricing Engine Analysis,Sprint 2,Backlog,5
Build listing-level occupancy-based adjustments,Portfolio Analyzer,"Rohith Panchagam, Harshit Choudhary",,,"Backend, ML/AI",P1-High,Pricing Engine Analysis,Sprint 3,Backlog,8
Build portfolio-level occupancy-based adjustments,Portfolio Analyzer,"Rohith Panchagam, Harshit Choudhary",,,"Backend, ML/AI",P1-High,Pricing Engine Analysis,Sprint 3,Backlog,5
Build multi-rule orphan gap pricing engine,Pricing Agent,"Rohith Panchagam, Harshit Choudhary",,,Backend,P1-High,Pricing Engine Analysis,Sprint 3,Backlog,8
Build far-out minimum price protection,Revenue Optimizer,"Rohith Panchagam, Harshit Choudhary",,,Backend,P2-Medium,Pricing Engine Analysis,Sprint 4,Backlog,5
Implement minimum weekend pricing,Pricing Agent,"Rohith Panchagam, Harshit Choudhary",,,"Backend, Frontend",P2-Medium,Pricing Engine Analysis,Sprint 4,Backlog,3
Build adjacent booking factor,Pricing Agent,"Rohith Panchagam, Harshit Choudhary",,,Backend,P2-Medium,Pricing Engine Analysis,Sprint 5,Backlog,5
Build tiered length-of-stay discounts,Revenue Optimizer,"Rohith Panchagam, Harshit Choudhary",,,Backend,P2-Medium,Pricing Engine Analysis,Sprint 5,Backlog,5
Build customization hierarchy system,Orchestrator,"Rohith Panchagam, Harshit Choudhary",,,"Backend, Frontend",P2-Medium,Pricing Engine Analysis,Sprint 6,Backlog,8